City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,"saint-philippe,re",-21.3585,55.7679,77.0,73,95,8.05,RE,1611619087
143,"yellowknife,ca",62.456,-114.3525,-20.0,69,75,9.22,CA,1611619087
144,"rikitea,pf",-23.1203,-134.9692,79.83,71,1,14.05,PF,1611619076
145,"chuy,uy",-33.6971,-53.4616,74.01,85,3,10.38,UY,1611619075
146,"hobart,au",-42.8794,147.3294,70.0,45,75,16.11,AU,1611619037
147,"hermanus,za",-34.4187,19.2345,62.01,87,0,7.45,ZA,1611619084
148,"paamiut,gl",61.994,-49.6678,22.37,83,100,9.73,GL,1611619087
149,"malindi,ke",-3.2175,40.1191,76.71,87,61,8.12,KE,1611619088
150,"iqaluit,ca",63.7506,-68.5145,-5.8,84,1,9.8,CA,1611619088
151,"araouane,ml",18.9048,-3.5265,68.34,17,81,9.28,ML,1611619088
152,"los reyes,mx",19.35,-98.9667,73.4,28,75,17.27,MX,1611619088
153,"hilo,us",19.7297,-155.09,73.4,88,90,4.61,US,1611618939
154,"tasiilaq,gl",65.6145,-37.6368,8.6,61,20,13.8,GL,1611618897
155,"georgetown,sh",-7.9333,-14.4167,75.58,76,43,11.83,SH,1611619076
156,"busselton,au",-33.65,115.3333,64.99,74,32,5.99,AU,1611618894
157,"havoysund,no",70.9963,24.6622,19.4,73,75,16.11,NO,1611619088
158,"kavieng,pg",-2.5744,150.7967,84.85,66,74,4.38,PG,1611619088
159,"fort wayne,us",41.1306,-85.1289,30.2,86,90,16.11,US,1611619034
160,"ushuaia,ar",-54.8,-68.3,50.0,46,40,17.27,AR,1611619076
161,"bethel,us",41.3712,-73.414,30.2,43,1,3.36,US,1611618908
162,"puerto ayora,ec",-0.7393,-90.3518,77.0,93,70,5.01,EC,1611619079
163,"vaini,to",-21.2,-175.2,82.4,83,75,9.22,TO,1611618899
164,"komsomolskiy,ru",43.9783,46.6985,39.69,92,5,11.36,RU,1611619076
165,"kamaishi,jp",39.2667,141.8833,24.8,93,75,5.75,JP,1611619089
166,"nome,us",64.5011,-165.4064,-0.4,78,75,2.64,US,1611619089
167,"bontang,id",0.1333,117.5,77.68,82,100,3.71,ID,1611619089
168,"bluff,nz",-46.6,168.3333,80.01,46,100,21.99,NZ,1611619075
169,"mahebourg,mu",-20.4081,57.7,71.6,94,20,6.91,MU,1611619083
170,"bengkulu,id",-3.8004,102.2655,73.11,93,100,7.02,ID,1611619075
171,"cristalina,br",-16.7686,-47.6136,63.52,91,91,2.84,BR,1611619089
172,"punta arenas,cl",-53.15,-70.9167,46.4,49,20,31.07,CL,1611618984
173,"cabo san lucas,mx",22.8909,-109.9124,68.0,55,1,18.41,MX,1611619089
174,"nikolskoye,ru",59.7035,30.7861,37.0,93,90,6.71,RU,1611619076
175,"rikitea,pf",-23.1203,-134.9692,79.83,71,1,14.05,PF,1611619076
176,"umm kaddadah,sd",13.6017,26.6876,66.92,22,85,15.79,SD,1611619090
177,"rikitea,pf",-23.1203,-134.9692,79.83,71,1,14.05,PF,1611619076
178,"albany,au",-35.0169,117.8917,59.0,88,40,8.05,AU,1611619079
179,"busselton,au",-33.65,115.3333,64.99,74,32,5.99,AU,1611618894
180,"hobart,au",-42.8794,147.3294,70.0,45,75,16.11,AU,1611619037
181,"rikitea,pf",-23.1203,-134.9692,79.83,71,1,14.05,PF,1611619076
182,"hermanus,za",-34.4187,19.2345,62.01,87,0,7.45,ZA,1611619084
183,"manyana,bw",-23.4,21.7167,72.55,63,88,1.61,BW,1611619090
